Interval=	0,01 s
ExcelDateTime=	4,3899352873981479e+004	09-03-2020 8:28:08,312
TimeFormat=	StartOfBlock
ChannelTitle=	Canal 1	Canal 7
Range=	200,0 mV	200,0 mV
UnitName=	 L/s	 L/s
TopValue=	8,0	8,0
BottomValue=	-8,0	-8,0
0:00:01,63	0,3	-0,1	
0:00:01,64	0,2	-0,0	
0:00:01,65	0,2	-0,0	
0:00:01,66	0,2	-0,0	
0:00:01,67	0,3	-0,1	
0:00:01,68	0,2	-0,0	
0:00:01,69	0,2	-0,1	
0:00:01,7	0,2	-0,1	
0:00:01,71	0,3	-0,1	
0:00:01,72	0,2	-0,1	
0:00:01,73	0,2	-0,1	
0:00:01,74	0,2	-0,1	
0:00:01,75	0,2	-0,1	
0:00:01,76	0,2	-0,1	
0:00:01,77	0,2	-0,1	
0:00:01,78	0,2	-0,1	
0:00:01,79	0,2	-0,1	
0:00:01,8	0,2	-0,1	
0:00:01,81	0,2	-0,1	
0:00:01,82	0,2	-0,1	
0:00:01,83	0,2	-0,1	
0:00:01,84	0,2	-0,1	
0:00:01,85	0,2	-0,1	
0:00:01,86	0,2	-0,1	
0:00:01,87	0,2	-0,1	
0:00:01,88	0,2	-0,1	
0:00:01,89	0,3	-0,1	
0:00:01,9	0,2	-0,1	
0:00:01,91	0,2	-0,1	
0:00:01,92	0,3	-0,1	
0:00:01,93	0,2	-0,1	
0:00:01,94	0,2	-0,1	
0:00:01,95	0,3	-0,1	
0:00:01,96	0,2	-0,1	
0:00:01,97	0,2	-0,1	
0:00:01,98	0,2	-0,1	
0:00:01,99	0,2	-0,1	
0:00:02,0	0,2	-0,1	
0:00:02,01	0,2	-0,1	
0:00:02,02	0,2	-0,1	
0:00:02,03	0,2	-0,1	
0:00:02,04	0,2	-0,1	
0:00:02,05	0,2	-0,1	
0:00:02,06	0,2	-0,1	
0:00:02,07	0,2	-0,1	
0:00:02,08	0,2	-0,1	
0:00:02,09	0,2	-0,1	
0:00:02,1	0,2	-0,1	
0:00:02,11	0,2	-0,1	
0:00:02,12	0,2	-0,1	
0:00:02,13	0,2	-0,1	
0:00:02,14	0,2	-0,1	
0:00:02,15	0,2	-0,1	
0:00:02,16	0,2	-0,1	
0:00:02,17	0,2	-0,1	
0:00:02,18	0,2	-0,1	
0:00:02,19	0,2	-0,1	
0:00:02,2	0,2	-0,1	
0:00:02,21	0,2	-0,1	
0:00:02,22	0,2	-0,1	
0:00:02,23	0,2	-0,1	
0:00:02,24	0,2	-0,1	
0:00:02,25	0,2	-0,1	
0:00:02,26	0,2	-0,1	
0:00:02,27	0,2	-0,1	
0:00:02,28	0,2	-0,1	
0:00:02,29	0,2	-0,1	
0:00:02,3	0,2	-0,1	
0:00:02,31	0,2	-0,1	
0:00:02,32	0,2	-0,1	
0:00:02,33	0,2	-0,1	
0:00:02,34	0,2	-0,1	
0:00:02,35	0,2	-0,1	
0:00:02,36	0,2	-0,1	
0:00:02,37	0,2	-0,1	
0:00:02,38	0,2	-0,1	
0:00:02,39	0,2	-0,1	
0:00:02,4	0,2	-0,1	
0:00:02,41	0,2	-0,1	
0:00:02,42	0,2	-0,1	
0:00:02,43	0,2	-0,1	
0:00:02,44	0,2	-0,1	
0:00:02,45	0,2	-0,1	
0:00:02,46	0,2	-0,1	
0:00:02,47	0,2	-0,1	
0:00:02,48	0,2	-0,1	
0:00:02,49	0,2	-0,1	
0:00:02,5	0,2	-0,1	
0:00:02,51	0,2	-0,1	
0:00:02,52	0,2	-0,1	
0:00:02,53	0,2	-0,1	
0:00:02,54	0,2	-0,1	
0:00:02,55	0,2	-0,1	
0:00:02,56	0,2	-0,1	
0:00:02,57	0,2	-0,1	
0:00:02,58	0,2	-0,1	
0:00:02,59	0,2	-0,1	
0:00:02,6	0,2	-0,1	
0:00:02,61	0,2	-0,1	
0:00:02,62	0,2	-0,1	
0:00:02,63	0,2	-0,1	
0:00:02,64	0,2	-0,1	
0:00:02,65	0,2	-0,1	
0:00:02,66	0,2	-0,1	
0:00:02,67	0,2	-0,1	
0:00:02,68	0,2	-0,1	
0:00:02,69	0,2	-0,1	
0:00:02,7	0,2	-0,1	
0:00:02,71	0,2	-0,1	
0:00:02,72	0,2	-0,1	
0:00:02,73	0,2	-0,1	
0:00:02,74	0,2	-0,1	
0:00:02,75	0,2	-0,1	
0:00:02,76	0,2	-0,1	
0:00:02,77	0,2	-0,1	
0:00:02,78	0,2	-0,1	
0:00:02,79	0,2	-0,1	
0:00:02,8	0,2	-0,1	
0:00:02,81	0,2	-0,1	
0:00:02,82	0,2	-0,1	
0:00:02,83	0,2	-0,1	
0:00:02,84	0,2	-0,1	
0:00:02,85	0,2	-0,1	
0:00:02,86	0,2	-0,1	
0:00:02,87	0,2	-0,1	
0:00:02,88	0,2	-0,1	
0:00:02,89	0,2	-0,1	
0:00:02,9	0,2	-0,1	
0:00:02,91	0,2	-0,1	
0:00:02,92	0,2	-0,1	
0:00:02,93	0,2	-0,1	
0:00:02,94	0,2	-0,1	
0:00:02,95	0,2	-0,1	
0:00:02,96	0,2	-0,1	
0:00:02,97	0,2	-0,1	
0:00:02,98	0,2	-0,1	
0:00:02,99	0,2	-0,1	
0:00:03,0	0,2	-0,1	
0:00:03,01	0,2	-0,1	
0:00:03,02	0,2	-0,1	
0:00:03,03	0,2	-0,1	
0:00:03,04	0,2	-0,1	
0:00:03,05	0,2	-0,1	
0:00:03,06	0,2	-0,1	
0:00:03,07	0,2	-0,1	
0:00:03,08	0,2	-0,1	
0:00:03,09	0,2	-0,1	
0:00:03,1	0,2	-0,1	
0:00:03,11	0,2	-0,1	
0:00:03,12	0,2	-0,1	
0:00:03,13	0,2	-0,1	
0:00:03,14	0,2	-0,1	
0:00:03,15	0,2	-0,1	
0:00:03,16	0,2	-0,1	
0:00:03,17	0,2	-0,1	
0:00:03,18	0,2	-0,1	
0:00:03,19	0,2	-0,1	
0:00:03,2	0,2	-0,1	
0:00:03,21	0,2	-0,1	
0:00:03,22	0,2	-0,1	
0:00:03,23	0,2	-0,1	
0:00:03,24	0,2	-0,1	
0:00:03,25	0,2	-0,1	
0:00:03,26	0,2	-0,1	
0:00:03,27	0,2	-0,1	
0:00:03,28	0,2	-0,1	
0:00:03,29	0,2	-0,1	
0:00:03,3	0,2	-0,1	
0:00:03,31	0,2	-0,1	
0:00:03,32	0,2	-0,1	
0:00:03,33	0,2	-0,1	
0:00:03,34	0,2	-0,1	
0:00:03,35	0,2	-0,1	
0:00:03,36	0,2	-0,1	
0:00:03,37	0,2	-0,1	
0:00:03,38	0,2	-0,1	
0:00:03,39	0,2	-0,1	
0:00:03,4	0,2	-0,1	
0:00:03,41	0,2	-0,1	
0:00:03,42	0,2	-0,1	
0:00:03,43	0,2	-0,1	
0:00:03,44	0,2	-0,1	
0:00:03,45	0,2	-0,1	
0:00:03,46	0,2	-0,1	
0:00:03,47	0,2	0,1	
0:00:03,48	0,2	0,2	
0:00:03,49	0,2	0,2	
0:00:03,5	0,2	0,2	
0:00:03,51	0,2	0,2	
0:00:03,52	0,2	0,2	
0:00:03,53	0,2	0,3	
0:00:03,54	0,2	0,3	
0:00:03,55	0,2	0,3	
0:00:03,56	0,2	0,6	
0:00:03,57	0,2	0,5	
0:00:03,58	0,2	0,6	
0:00:03,59	0,2	0,7	
0:00:03,6	0,2	0,7	
0:00:03,61	0,2	0,7	
0:00:03,62	0,2	0,8	
0:00:03,63	0,2	0,8	
0:00:03,64	0,2	0,9	
0:00:03,65	0,2	0,9	
0:00:03,66	0,2	0,9	
0:00:03,67	0,2	1,0	
0:00:03,68	0,2	1,0	
0:00:03,69	0,2	1,0	
0:00:03,7	0,2	1,1	
0:00:03,71	0,2	1,1	
0:00:03,72	0,2	1,1	
0:00:03,73	0,2	1,1	
0:00:03,74	0,2	1,1	
0:00:03,75	0,2	1,1	
0:00:03,76	0,2	1,1	
0:00:03,77	0,2	1,1	
0:00:03,78	0,2	1,1	
0:00:03,79	0,2	1,2	
0:00:03,8	0,2	1,2	
0:00:03,81	0,2	1,2	
0:00:03,82	0,2	1,2	
0:00:03,83	0,2	1,2	
0:00:03,84	0,2	1,2	
0:00:03,85	0,2	1,2	
0:00:03,86	0,2	1,2	
0:00:03,87	0,2	1,2	
0:00:03,88	0,2	1,2	
0:00:03,89	0,2	1,2	
0:00:03,9	0,2	1,2	
0:00:03,91	0,2	1,2	
0:00:03,92	0,2	1,2	
0:00:03,93	0,2	1,1	
0:00:03,94	0,2	1,1	
0:00:03,95	0,2	1,1	
0:00:03,96	0,2	1,1	
0:00:03,97	0,2	1,1	
0:00:03,98	0,2	1,2	
0:00:03,99	0,2	1,1	
0:00:04,0	0,2	1,2	
0:00:04,01	0,2	1,1	
0:00:04,02	0,2	1,1	
0:00:04,03	0,2	1,1	
0:00:04,04	0,2	1,1	
0:00:04,05	0,2	1,1	
0:00:04,06	0,2	1,1	
0:00:04,07	0,2	1,1	
0:00:04,08	0,2	1,1	
0:00:04,09	0,2	1,1	
0:00:04,1	0,2	1,1	
0:00:04,11	0,2	1,0	
0:00:04,12	0,2	1,0	
0:00:04,13	0,2	1,0	
0:00:04,14	0,2	1,0	
0:00:04,15	0,2	1,0	
0:00:04,16	0,2	1,0	
0:00:04,17	0,2	1,0	
0:00:04,18	0,2	1,0	
0:00:04,19	0,2	0,9	
0:00:04,2	0,2	0,9	
0:00:04,21	0,2	0,9	
0:00:04,22	0,2	0,9	
0:00:04,23	0,2	0,9	
0:00:04,24	0,2	0,9	
0:00:04,25	0,2	0,9	
0:00:04,26	0,2	0,9	
0:00:04,27	0,2	0,9	
0:00:04,28	0,2	0,9	
0:00:04,29	0,2	0,9	
0:00:04,3	0,2	0,9	
0:00:04,31	0,2	1,0	
0:00:04,32	0,2	0,8	
0:00:04,33	0,2	0,8	
0:00:04,34	0,2	0,8	
0:00:04,35	0,4	0,6	
0:00:04,36	0,4	0,5	
0:00:04,37	0,5	0,5	
0:00:04,38	0,5	0,4	
0:00:04,39	0,6	0,4	
0:00:04,4	0,6	0,4	
0:00:04,41	0,5	0,3	
0:00:04,42	0,7	0,4	
0:00:04,43	0,7	0,3	
0:00:04,44	0,6	0,4	
0:00:04,45	0,6	0,4	
0:00:04,46	0,7	0,4	
0:00:04,47	0,6	0,4	
0:00:04,48	0,7	0,4	
0:00:04,49	0,7	0,3	
0:00:04,5	0,6	0,4	
0:00:04,51	0,6	0,3	
0:00:04,52	0,6	0,3	
0:00:04,53	0,6	0,3	
0:00:04,54	0,6	0,3	
0:00:04,55	0,6	0,3	
0:00:04,56	0,7	0,3	
0:00:04,57	0,7	0,2	
0:00:04,58	0,7	0,2	
0:00:04,59	0,7	0,2	
0:00:04,6	0,7	0,1	
0:00:04,61	0,8	0,1	
0:00:04,62	0,8	0,0	
0:00:04,63	0,8	-0,0	
0:00:04,64	0,8	-0,0	
0:00:04,65	0,8	0,0	
0:00:04,66	0,8	-0,1	
0:00:04,67	0,8	-0,1	
0:00:04,68	0,8	-0,1	
0:00:04,69	0,8	-0,1	
0:00:04,7	0,8	-0,1	
0:00:04,71	0,8	-0,1	
0:00:04,72	0,8	-0,1	
0:00:04,73	0,8	-0,1	
0:00:04,74	0,8	-0,1	
0:00:04,75	0,8	-0,1	
0:00:04,76	0,7	-0,1	
0:00:04,77	0,7	-0,1	
0:00:04,78	0,7	-0,1	
0:00:04,79	0,7	-0,1	
0:00:04,8	0,7	-0,1	
0:00:04,81	0,7	-0,1	
0:00:04,82	0,7	-0,1	
0:00:04,83	0,7	-0,1	
0:00:04,84	0,7	-0,1	
0:00:04,85	0,7	-0,1	
0:00:04,86	0,7	-0,1	
0:00:04,87	0,7	-0,1	
0:00:04,88	0,7	-0,1	
0:00:04,89	0,7	-0,1	
0:00:04,9	0,7	-0,1	
0:00:04,91	0,7	-0,1	
0:00:04,92	0,7	-0,1	
0:00:04,93	0,7	-0,1	
0:00:04,94	0,7	-0,1	
0:00:04,95	0,7	-0,1	
0:00:04,96	0,7	-0,1	
0:00:04,97	0,7	-0,1	
0:00:04,98	0,7	-0,1	
0:00:04,99	0,7	-0,1	
0:00:05,0	0,7	-0,1	
0:00:05,01	0,7	-0,1	
0:00:05,02	0,7	-0,1	
0:00:05,03	0,7	-0,1	
0:00:05,04	0,7	-0,1	
0:00:05,05	0,6	-0,1	
0:00:05,06	0,6	-0,1	
0:00:05,07	0,6	-0,1	
0:00:05,08	0,6	-0,1	
0:00:05,09	0,6	-0,1	
0:00:05,1	0,6	-0,1	
0:00:05,11	0,6	-0,1	
0:00:05,12	0,7	-0,1	
0:00:05,13	0,6	-0,1	
0:00:05,14	0,7	-0,1	
0:00:05,15	0,6	-0,1	
0:00:05,16	0,6	-0,1	
0:00:05,17	0,6	-0,1	
0:00:05,18	0,6	-0,1	
0:00:05,19	0,6	-0,1	
0:00:05,2	0,6	-0,1	
0:00:05,21	0,6	-0,1	
0:00:05,22	0,6	-0,1	
0:00:05,23	0,6	-0,1	
0:00:05,24	0,6	-0,1	
0:00:05,25	0,6	-0,1	
0:00:05,26	0,6	-0,1	
0:00:05,27	0,6	-0,1	
0:00:05,28	0,6	-0,1	
0:00:05,29	0,6	-0,1	
0:00:05,3	0,6	-0,1	
0:00:05,31	0,6	-0,1	
0:00:05,32	0,6	-0,1	
0:00:05,33	0,6	-0,1	
0:00:05,34	0,6	-0,1	
0:00:05,35	0,6	-0,1	
0:00:05,36	0,6	-0,1	
0:00:05,37	0,6	-0,1	
0:00:05,38	0,5	-0,1	
0:00:05,39	0,5	-0,1	
0:00:05,4	0,5	-0,1	
0:00:05,41	0,5	-0,1	
0:00:05,42	0,5	-0,1	
0:00:05,43	0,5	-0,1	
0:00:05,44	0,5	-0,1	
0:00:05,45	0,5	-0,1	
0:00:05,46	0,5	-0,1	
0:00:05,47	0,5	-0,1	
0:00:05,48	0,5	-0,1	
0:00:05,49	0,5	-0,1	
0:00:05,5	0,5	-0,1	
0:00:05,51	0,5	-0,1	
0:00:05,52	0,5	-0,1	
0:00:05,53	0,5	-0,1	
0:00:05,54	0,5	-0,1	
0:00:05,55	0,5	-0,1	
0:00:05,56	0,5	-0,1	
0:00:05,57	0,5	-0,1	
0:00:05,58	0,5	-0,1	
0:00:05,59	0,5	-0,1	
0:00:05,6	0,5	-0,1	
0:00:05,61	0,5	-0,1	
0:00:05,62	0,5	-0,1	
0:00:05,63	0,6	-0,1	
0:00:05,64	0,6	-0,1	
0:00:05,65	0,6	-0,1	
0:00:05,66	0,6	-0,1	
0:00:05,67	0,6	-0,1	
0:00:05,68	0,6	-0,1	
0:00:05,69	0,6	-0,1	
0:00:05,7	0,6	-0,1	
0:00:05,71	0,6	-0,1	
0:00:05,72	0,6	-0,1	
0:00:05,73	0,6	-0,1	
0:00:05,74	0,6	-0,1	
0:00:05,75	0,6	-0,1	
0:00:05,76	0,6	-0,1	
0:00:05,77	0,6	-0,1	
0:00:05,78	0,5	-0,1	
0:00:05,79	0,5	-0,1	
0:00:05,8	0,5	-0,1	
0:00:05,81	0,5	-0,1	
0:00:05,82	0,5	-0,1	
0:00:05,83	0,5	-0,1	
0:00:05,84	0,5	-0,1	
0:00:05,85	0,5	-0,1	
0:00:05,86	0,5	-0,1	
0:00:05,87	0,5	-0,1	
0:00:05,88	0,5	-0,1	
0:00:05,89	0,4	-0,1	
0:00:05,9	0,5	-0,1	
0:00:05,91	0,4	-0,1	
0:00:05,92	0,4	-0,1	
0:00:05,93	0,4	-0,1	
0:00:05,94	0,5	-0,1	
0:00:05,95	0,5	-0,1	
0:00:05,96	0,5	-0,1	
0:00:05,97	0,5	-0,1	
0:00:05,98	0,5	-0,1	
0:00:05,99	0,5	-0,1	
0:00:06,0	0,4	-0,1	
0:00:06,01	0,4	-0,1	
0:00:06,02	0,4	-0,1	
0:00:06,03	0,4	-0,1	
0:00:06,04	0,4	-0,1	
0:00:06,05	0,3	-0,1	
0:00:06,06	0,3	-0,1	
0:00:06,07	0,2	-0,1	
0:00:06,08	0,2	-0,1	
0:00:06,09	0,2	-0,1	
0:00:06,1	0,2	-0,1	
0:00:06,11	0,2	-0,1	
0:00:06,12	0,2	-0,1	
0:00:06,13	0,2	-0,1	
0:00:06,14	0,2	-0,1	
0:00:06,15	0,2	-0,1	
0:00:06,16	0,2	-0,1	
0:00:06,17	0,2	-0,1	
0:00:06,18	0,2	-0,1	
0:00:06,19	0,2	-0,1	
0:00:06,2	0,2	-0,1	
0:00:06,21	0,2	-0,1	
0:00:06,22	0,2	-0,1	
0:00:06,23	0,2	-0,1	
0:00:06,24	0,2	-0,1	
0:00:06,25	0,2	-0,1	
0:00:06,26	0,2	-0,1	
0:00:06,27	0,2	-0,1	
0:00:06,28	0,2	-0,1	
0:00:06,29	0,2	-0,1	
0:00:06,3	0,2	-0,1	
0:00:06,31	0,2	-0,1	
0:00:06,32	0,2	-0,1	
0:00:06,33	0,2	-0,1	
0:00:06,34	0,2	-0,1	
0:00:06,35	0,2	-0,1	
0:00:06,36	0,2	-0,1	
0:00:06,37	0,2	-0,1	
0:00:06,38	0,2	-0,1	
0:00:06,39	0,2	-0,1	
0:00:06,4	0,2	-0,1	
0:00:06,41	0,2	-0,1	
0:00:06,42	0,2	-0,1	
0:00:06,43	0,2	-0,1	
0:00:06,44	0,2	-0,1	
0:00:06,45	0,2	-0,1	
0:00:06,46	0,2	-0,1	
0:00:06,47	0,2	-0,1	
0:00:06,48	0,2	-0,1	
0:00:06,49	0,2	-0,1	
0:00:06,5	0,2	-0,1	
0:00:06,51	0,4	-0,1	
0:00:06,52	0,0	-0,1	
0:00:06,53	0,4	-0,1	
0:00:06,54	0,1	-0,1	
0:00:06,55	0,2	-0,1	
0:00:06,56	0,4	-0,1	
0:00:06,57	-0,0	-0,1	
0:00:06,58	0,2	-0,1	
0:00:06,59	0,3	-0,1	
0:00:06,6	0,1	-0,1	
0:00:06,61	0,2	-0,1	
0:00:06,62	0,2	-0,1	
0:00:06,63	0,2	-0,1	
0:00:06,64	0,2	-0,1	
0:00:06,65	0,2	-0,1	
0:00:06,66	0,2	-0,1	
0:00:06,67	0,2	-0,1	
0:00:06,68	0,2	-0,1	
0:00:06,69	0,2	-0,1	
0:00:06,7	0,2	-0,1	
0:00:06,71	0,2	-0,1	
0:00:06,72	0,2	-0,1	
0:00:06,73	0,2	-0,1	
0:00:06,74	0,2	-0,1	
0:00:06,75	0,2	-0,1	
0:00:06,76	0,2	-0,1	
0:00:06,77	0,2	-0,1	
0:00:06,78	0,2	-0,1	
0:00:06,79	0,2	-0,1	
0:00:06,8	0,2	-0,1	
0:00:06,81	0,2	-0,1	
0:00:06,82	0,2	-0,1	
0:00:06,83	0,2	-0,1	
0:00:06,84	0,2	-0,1	
0:00:06,85	0,2	-0,1	
0:00:06,86	0,2	-0,1	
0:00:06,87	0,2	-0,1	
0:00:06,88	0,2	-0,1	
0:00:06,89	0,2	-0,1	
0:00:06,9	0,2	-0,1	
0:00:06,91	0,2	-0,1	
0:00:06,92	0,2	-0,1	
0:00:06,93	0,2	-0,1	
0:00:06,94	0,2	-0,1	
0:00:06,95	0,2	-0,1	
0:00:06,96	0,2	-0,1	
0:00:06,97	0,2	-0,1	
0:00:06,98	0,2	-0,1	
0:00:06,99	0,2	-0,1	
0:00:07,0	0,2	-0,1	
0:00:07,01	0,2	-0,1	
0:00:07,02	0,2	-0,1	
0:00:07,03	0,2	-0,1	
0:00:07,04	0,2	-0,1	
0:00:07,05	0,2	-0,1	
0:00:07,06	0,2	-0,1	
0:00:07,07	0,2	-0,1	
0:00:07,08	0,2	-0,1	
0:00:07,09	0,2	-0,1	
0:00:07,1	0,2	-0,1	
0:00:07,11	0,2	-0,1	
0:00:07,12	0,2	-0,1	
0:00:07,13	0,2	-0,1	
0:00:07,14	0,2	-0,1	
0:00:07,15	0,2	-0,1	
0:00:07,16	0,2	-0,1	
0:00:07,17	0,2	-0,1	
0:00:07,18	0,2	-0,1	
0:00:07,19	0,2	-0,1	
0:00:07,2	0,2	-0,1	
0:00:07,21	0,2	-0,1	
0:00:07,22	0,2	-0,1	
0:00:07,23	0,2	-0,1	
0:00:07,24	0,2	-0,1	
0:00:07,25	0,2	-0,1	
0:00:07,26	0,2	-0,1	
0:00:07,27	0,2	-0,1	
0:00:07,28	0,2	-0,1	
0:00:07,29	0,2	-0,1	
0:00:07,3	0,2	-0,1	
0:00:07,31	0,2	-0,1	
0:00:07,32	0,2	-0,1	
0:00:07,33	0,2	-0,1	
0:00:07,34	0,2	-0,1	
0:00:07,35	0,2	-0,1	
0:00:07,36	0,2	-0,1	
0:00:07,37	0,2	-0,1	
0:00:07,38	0,2	-0,1	
0:00:07,39	0,2	-0,1	
0:00:07,4	0,2	-0,1	
0:00:07,41	0,2	-0,1	
0:00:07,42	0,2	-0,1	
0:00:07,43	0,2	-0,1	
0:00:07,44	0,2	-0,1	
0:00:07,45	0,2	-0,1	
0:00:07,46	0,2	-0,1	
0:00:07,47	0,2	-0,1	
0:00:07,48	0,2	-0,1	
0:00:07,49	0,2	-0,1	
0:00:07,5	0,2	-0,1	
0:00:07,51	0,2	-0,1	
0:00:07,52	0,2	-0,1	
0:00:07,53	0,2	-0,1	
0:00:07,54	0,2	-0,1	
0:00:07,55	0,2	-0,1	
0:00:07,56	0,2	-0,1	
0:00:07,57	0,2	-0,1	
0:00:07,58	0,2	-0,1	
0:00:07,59	0,2	-0,1	
0:00:07,6	0,2	-0,1	
0:00:07,61	0,2	-0,1	
0:00:07,62	0,2	-0,1	
0:00:07,63	0,2	-0,1	
0:00:07,64	0,2	-0,1	
0:00:07,65	0,2	-0,1	
0:00:07,66	0,2	-0,1	
